ID,First Name,Last Name,Grade
57,Meghann,Greer,4.6
25,Amandi,Bainbrigge,4.6
23,Audy,Blenkinsop,1.3
95,Anselma,Lebel,7.2
29,Berthe,Hartle,8.2
36,Lenette,Lathwell,2.2
77,Shaun,Gumb,2.8
66,Correy,Farherty,2.5
92,Rikki,Follin,8.7
68,Samara,Hayley,4
88,Cass,Danilovitch,7
61,Marice,L' Anglois,3
12,Filbert,Clemencon,5.6
53,Cynthea,Van De Cappelle,3.2
55,Godwin,Cobbled,8.8
31,Ardyth,Duthy,2.4
41,Basilio,Wainscot,4.6
19,Hillier,Jurewicz,2.1
49,Holden,Barti,2.4
33,Irita,Ivashintsov,6.1
93,Allard,Maplethorp,1.3
11,Tades,Dalmon,8.3
90,Cherey,Ladley,8
74,Fawn,Woolmington,4.2
96,Coleen,Sigfrid,9.1
91,Kurtis,Archer,2.4
48,Cherise,Jouning,8.8
83,Velvet,Warr,5.1
28,Antony,Brixey,9.5
43,Clayborn,Wolfart,2.4
46,Myrlene,Ginity,4.8
78,Ronica,Dawidowsky,5.3
14,Humberto,Pietz,8.6
54,Violet,Camoletto,4.4
59,Flor,Bansal,1.8
100,Claudius,Pregel,3.1
39,Zara,Bringloe,1.8
65,Marinna,Frantzen,2.3
30,Delia,Beatson,6.2
80,Madison,Olenin,5.7
64,Wallis,Bothie,9.7
71,Alain,Hallas,4
50,Mohammed,O'Cannon,5.6
2,Staffard,Pettis,7.8
32,Almeda,Kelner,5.8
42,Ram,Klaas,9.6
26,Alison,Etchell,5.8
84,Gerianne,Aitken,9.1
27,Moreen,Van Giffen,4.5
21,Beaufort,Kerslake,9.7
56,Elenore,Kibard,2.2
79,Lissi,Poat,9.8
81,Arnaldo,Addis,1.5
16,Torie,Warbeys,7
18,Maggi,Sellen,7
94,Berti,Takos,7.8
99,Joann,Petric,6.8
51,Fionnula,Walkingshaw,2
73,Maddy,Andreev,6.1
62,Jenn,Ghiriardelli,9.4
10,Townie,Pancoast,6.1
13,Dickie,Daintry,7.8
8,Hannie,Hayller,4.6
58,Garrik,Hendrickx,5
22,Allayne,Fassan,5.5
34,Vitoria,Yelyashev,2.3
1,Olav,Towers,2.6
15,Aridatha,Montfort,2
86,Tomi,Tourry,4.2
75,Franciska,Dorrian,9.1
4,Inesita,Kynder,8.5
40,Cecilius,O'Coskerry,8
20,Rosette,Thompstone,7.2
70,Sutherland,Booth-Jarvis,7.6
24,Andriana,Albion,4.2
87,Ellary,Sellstrom,7
82,Bernadine,McCreagh,3.2
37,Elvyn,Sreenan,5.6
35,Charlena,Durnan,7.7
60,Jerrine,Warden,5.5
3,Doroteya,Caplis,8.9
5,Jerrie,Backen,1.7
76,Annecorinne,Batie,1.9
69,Deborah,Bleackly,3.2
45,Dru,Darrach,5.4
6,Loralee,Switzer,5.1
38,Shane,Jeratt,8
85,Frank,Mangenet,8.7
72,Deerdre,Loghan,6.1
97,Anthea,Hamal,6.1
98,Avis,Franzolini,7
47,Barnabas,Flageul,8.5
89,Roanna,Daingerfield,1.2
63,Ray,Aldren,1.8
44,Sim,Hawse,9.7
9,Shepperd,Beldam,1.2
7,Nevile,Colliar,3.5
17,Hedi,Poltun,4.5
52,Darci,Domotor,5.2
